Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Precio
Chardonnay Uno 2012,Spain,Somontano,Enate,4.2,37,416.02,2012,416,02
Pedra de Guix 2016,Spain,Priorat,Terroir Al Límit Soc. Lda,4.3,46,60.0,2016,60
Pedra de Guix 2015,Spain,Priorat,Terroir Al Límit Soc. Lda,3.9,119,60.0,2015,60
La Comtesse de Pazo Barrantes Albariño 2013,Spain,Rías Baixas,Pazo Barrantes,4.1,159,51.68,2013,51,68
As Sortes Val do Bibei Godello 2018,Spain,Valdeorras,Rafael Palacios,4.4,109,42.06,2018,42,06
Barón de Chirel Verdejo Viñas Centenarias 2016,Spain,Castilla y León,Marqués de Riscal,4.3,45,41.61,2016,41,61
As Sortes Val do Bibei Godello 2015,Spain,Valdeorras,Rafael Palacios,4.2,532,39.95,2015,39,95
As Sortes Val do Bibei Godello 2014,Spain,Valdeorras,Rafael Palacios,4.2,586,39.9,2014,39,9
Milmanda 2016,Spain,Conca de Barberà,Torres,4.2,73,38.5,2016,38,5
La Comtesse de Pazo Barrantes Albariño 2016,Spain,Rías Baixas,Pazo Barrantes,4.1,107,38.02,2016,38,02
Sons de Prades Vinyes de Milmanda 2016,Spain,Conca de Barberà,Torres,4.0,116,36.56,2016,36,56
Le Domaine Blanco de Guarda 2018,Spain,Castilla y León,Abadia Retuerta,4.2,141,35.87,2018,35,87
Sons de Prades Vinyes de Milmanda 2017,Spain,Conca de Barberà,Torres,3.7,125,34.99,2017,34,99
Cuvée Especial Verdejo 2016,Spain,Rueda,José Pariente,4.0,56,32.5,2016,32,5
Lo Cortinelo.Lo Blanc 2016,Spain,Plà i Llevant,Es Fangar,4.3,41,28.1,2016,28,1
Godello 2016,Spain,Valdeorras,Avancia,4.2,428,27.4,2016,27,4
Predicador Blanco 2017,Spain,Rioja,Bodega Contador (Benjamín Romeo),4.0,135,25.78,2017,25,78
Fransola 2012,Spain,Penedès,Torres,4.0,273,23.79,2012,23,79
Fransola 2018,Spain,Penedès,Torres,3.8,83,23.75,2018,23,75
Nuat 2015,Spain,Pla de Bages,Abadal,4.1,30,23.3,2015,23,3
Capellanía 2014,Spain,Rioja,Marqués de Murrieta,4.1,807,22.85,2014,22,85
Viognier 2018,Spain,Castilla y León,Prieto Pariente,3.7,32,21.99,2018,21,99
Chardonnay Penedès Vinya Gigi 2016,Spain,Penedès,Jean Leon,3.8,171,21.99,2016,21,99
Muti Albariño 2014,Spain,Rías Baixas,Raúl Pérez,3.9,48,21.9,2014,21,9
Selección Finca Monte Alto 2015,Spain,Rías Baixas,Fillaboa,4.0,68,21.5,2015,21,5
La Mateo Tempranillo Blanco 2017,Spain,Rioja,D. Mateos,3.9,67,20.95,2017,20,95
La Mar 2016,Spain,Rías Baixas,Terras Gauda,4.0,79,20.25,2016,20,25
Chardonnay Fermentado en Barrica 2018,Spain,Somontano,Enate,4.3,42,19.99,2018,19,99
Nisia Las Suertes Verdejo Old Vines 2016,Spain,Rueda,Ordóñez,4.1,198,19.95,2016,19,95
Louro Godello 2019,Spain,Valdeorras,Rafael Palacios,4.2,97,19.9,2019,19,9
Albariño 2016,Spain,Rías Baixas,Pazo Barrantes,3.8,1183,19.87,2016,19,87
Verdejo Fermentado en Barrica 2018,Spain,Rueda,José Pariente,3.9,33,19.65,2018,19,65
Capellanía 2015,Spain,Rioja,Marqués de Murrieta,4.1,198,19.6,2015,19,6
Lusco Albariño 2018,Spain,Rías Baixas,Pazos de Lusco,4.0,282,19.53,2018,19,53
Blas Muñoz Chardonnay 2018,Spain,La Mancha,Munoz,4.2,284,19.01,2018,19,01
Fermentado en Barrica Verdejo 2017,Spain,Rueda,Protos,3.8,70,18.99,2017,18,99
Sa Fita Blanco 2017,Spain,Plà i Llevant,Es Fangar,4.2,47,18.9,2017,18,9
Louro do Bolo Godello Valdeorras 2018,Spain,Valdeorras,Rafael Palacios,4.0,433,18.9,2018,18,9
Nounat 2019,Spain,Mallorca,Binigrau,4.2,62,18.75,2019,18,75
Cuvée Verdejo 2016,Spain,Rueda,Valdecuevas,4.2,31,18.7,2016,18,7
Alejairén Airen 2017,Spain,La Mancha,El Vínculo,3.6,25,18.42,2017,18,42
Historic Blanco 2017,Spain,Priorat,Terroir Al Límit Soc. Lda,3.8,70,18.0,2017,18
El Transistor Verdejo 2018,Spain,Rueda,Telmo Rodriguez,3.8,87,17.9,2018,17,9
Blanc de Blancs 2017,Spain,Binissalem-Mallorca,Macià Batle,3.9,215,17.79,2017,17,79
Ritme Blanc 2017,Spain,Priorat,Acustic Celler,4.0,26,16.99,2017,16,99
Blanc de Blancs 2018,Spain,Binissalem-Mallorca,Macià Batle,3.6,35,16.95,2018,16,95
Rías Baixas Albariño 2017,Spain,Rías Baixas,Finca Garabelos,4.1,535,16.9,2017,16,9
Moscatel Old Vines 2018,Spain,Sierras de Málaga,Botani,4.1,54,16.74,2018,16,74
Tianna Bocchoris Blanc 2014,Spain,Mallorca,Tianna Negre,3.7,93,16.59,2014,16,59
Pago de los Balagueses Chardonnay 2017,Spain,Utiel-Requena,Vegalfaro,3.9,54,16.47,2017,16,47
Louro do Bolo Godello Valdeorras 2016,Spain,Valdeorras,Rafael Palacios,3.9,508,15.95,2016,15,95
Louro do Bolo Godello Valdeorras 2019,Spain,Valdeorras,Rafael Palacios,3.9,60,15.9,2019,15,9
Tianna Bocchoris Blanc 2018,Spain,Mallorca,Tianna Negre,4.1,36,15.59,2018,15,59
Albariño 2018,Spain,Rías Baixas,Pazo Barrantes,3.8,442,15.5,2018,15,5
Malvasia Seco 2018,Spain,Lanzarote,El Grifo,3.9,161,15.49,2018,15,49
Finca Montico 2017,Spain,Rueda,Marqués de Riscal,3.9,249,15.26,2017,15,26
Finca Montico 2018,Spain,Rueda,Marqués de Riscal,3.9,70,14.99,2018,14,99
La Trucha Albariño 2019,Spain,Rías Baixas,Finca Garabelos,4.3,25,14.7,2019,14,7
Nosso Verdejo 2018,Spain,Castilla y León,Menade,3.8,228,14.6,2018,14,6
Rioja Fermentado en Barrica Blanco 2017,Spain,Rioja,Baigorri,3.6,41,14.43,2017,14,43
Chardonnay Penedès 3055 2018,Spain,Penedès,Jean Leon,3.7,481,14.38,2018,14,38
Albariño 2018,Spain,Rías Baixas,Lagar de Cervera,3.9,930,14.38,2018,14,38
Memòries de Biniagual Blanc 2018,Spain,Binissalem-Mallorca,Biniagual,3.5,33,14.13,2018,14,13
Camino del Pelegrino (Peregrino) Albariño 2018,Spain,Galicia,Pazo Señorans,3.5,52,14.13,2018,14,13
